,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,5.0,11.0,3.854726645281273e-08,1.3214561939239502,17.0,221.19585689492732
1,1.0,5.0,11.0,1.6671637394798836e-08,1.1349537372589111,1.0,181.77628156534308
2,2.0,5.0,11.0,0.0,2.5206804275512695,26.0,210.96097565891176
3,3.0,5.0,9.0,0.0,1.0746729373931885,86.0,227.66673834051986
4,4.0,5.0,10.0,1.767315536086768e-07,1.46905517578125,1.0,170.1418642784487
5,5.0,5.0,10.0,2.429902388164653e-07,1.1185178756713867,1.0,212.28134692433926
6,6.0,5.0,10.0,8.477631142780706e-08,1.2007012367248535,3.0,249.87127221631545
7,7.0,5.0,11.0,0.0,1.566401481628418,1.0,192.9278592011563
8,8.0,5.0,10.0,3.660880475080356e-05,1.321465015411377,1.0,209.73159111682511
9,9.0,5.0,8.0,3.932174270830129e-07,0.8220913410186768,6.0,181.21984828313677
10,0.0,10.0,21.0,0.0,9.2252357006073,94.0,282.89749672460374
11,1.0,10.0,21.0,5.762708989187837e-10,7.548809766769409,42.0,299.2241502690383
12,2.0,10.0,15.0,0.0,5.043805837631226,74.0,347.61950812730026
13,3.0,10.0,19.0,0.0,6.924981355667114,199.0,301.693494616892
14,4.0,10.0,20.0,9.606032895876322e-08,7.709063291549683,10.0,319.01928624961346
15,5.0,10.0,21.0,0.0,8.033328533172607,192.0,335.2777234142207
16,6.0,10.0,17.0,0.0,5.855879783630371,65.0,267.204731133669
17,7.0,10.0,21.0,8.53017246244891e-08,7.264981746673584,13.0,298.73970369311564
18,8.0,10.0,20.0,0.0,8.45468807220459,534.0,336.4534952901275
19,9.0,10.0,21.0,0.0,8.073704481124878,135.0,330.36266481018237
20,0.0,20.0,35.0,6.556019532312225e-06,71.152095079422,459.0,433.4113415886505
21,1.0,20.0,35.0,1.969437845870986e-06,122.96417808532715,925.0,400.72171123799495
22,2.0,20.0,35.0,0.0,40.06149983406067,70.0,438.3489490793656
23,3.0,20.0,38.0,0.0,76.52262711524963,514.0,439.3137775102862
24,4.0,20.0,40.0,2.793938967065723e-07,63.62649917602539,1504.0,476.3955307198845
25,5.0,20.0,36.0,0.0,166.6678342819214,2378.0,464.1662210848544
26,6.0,20.0,35.0,6.626973071688802e-07,104.83625078201294,590.0,392.25888221114246
27,7.0,20.0,38.0,3.746416266856672e-06,67.80237150192261,451.0,469.3188319132298
28,8.0,20.0,39.0,4.141342717921353e-06,129.04588890075684,1664.0,507.8931002101666
29,9.0,20.0,35.0,0.0,129.87023854255676,619.0,415.91906952274326
30,0.0,30.0,52.0,2.3459304353932383e-05,273.8982901573181,1792.0,636.5866374601015
31,1.0,30.0,58.0,1.276496692749599e-06,457.9191782474518,4374.0,579.0470821931558
32,2.0,30.0,49.0,3.40152835052381e-05,156.75733256340027,431.0,591.5699528775644
33,3.0,30.0,54.0,0.0,350.20749258995056,1797.0,580.017614267751
34,4.0,30.0,53.0,0.0,358.9710786342621,1116.0,570.7656944768679
35,5.0,30.0,56.0,3.1372118513725227e-06,979.6799893379211,24818.0,606.2252670639547
36,6.0,30.0,60.0,4.21762164815559e-05,269.7693340778351,1130.0,621.9598809175494
37,7.0,30.0,57.0,0.0,526.3385412693024,2232.0,569.2821699401943
38,8.0,30.0,54.0,6.022256562551162e-10,316.1849591732025,773.0,539.1037278901194
39,9.0,30.0,58.0,0.0,451.3438081741333,1464.0,603.0431638833178
40,0.0,50.0,83.0,3.730684169925265e-05,1418.548986196518,3202.0,727.4651418694584
41,1.0,50.0,82.0,1.9599549596963366e-10,1415.259699344635,7126.0,777.2686693699958
42,2.0,50.0,83.0,0.013700644319148136,3604.9306910037994,59349.0,784.7421350411657
43,3.0,50.0,83.0,7.13050111182057e-05,873.7220921516418,2871.0,787.0873118802377
44,4.0,50.0,90.0,0.0,1954.907823562622,13576.0,735.4484933716985
45,5.0,50.0,86.0,3.982291647029125e-08,1301.6242880821228,9536.0,743.084340427651
46,6.0,50.0,87.0,0.0,1811.6103434562683,8008.0,769.9551524593303
47,7.0,50.0,79.0,1.0575147816057984e-05,855.6517181396484,2373.0,740.3658503739766
48,8.0,50.0,91.0,5.356449946307427e-06,1684.4522023200989,8926.0,768.0122683320499
49,9.0,50.0,91.0,0.0,1268.77512717247,4470.0,708.3764345799672
