,Instance,n_N,n_B,Gap,Runtime,NodeCount,ObjVal
0,0.0,20.0,40.0,7.08789523463335e-05,308.1059410572052,10220.0,507.960611766429
1,1.0,20.0,39.0,0.023904873112250383,7200.810092926025,90797.0,499.7502740955043
2,2.0,20.0,36.0,6.242545408474162e-07,305.56270003318787,10826.0,495.53359826988947
3,3.0,20.0,40.0,0.0,132.38653588294983,3636.0,452.3787356216624
4,4.0,20.0,45.0,0.0,345.12675285339355,19601.0,501.7377618909708
5,0.0,25.0,44.0,1.9032599540164517e-05,438.06844210624695,17170.0,546.471307818396
6,1.0,25.0,43.0,3.978730862103282e-05,765.0514810085297,81209.0,515.3112343443801
7,2.0,25.0,49.0,3.570866569483124e-05,2060.2098939418793,167068.0,569.5940504674224
8,3.0,25.0,43.0,2.5846489158748814e-07,470.20315194129944,13634.0,485.92534005747046
9,4.0,25.0,45.0,0.0,191.61962985992432,7153.0,485.0992339337446
10,0.0,30.0,61.0,7.120508574952056e-07,659.287220954895,22194.0,573.6493860337046
11,1.0,30.0,51.0,0.0,1011.8933219909668,61260.0,567.9684702433473
12,2.0,30.0,56.0,6.141687087104003e-05,727.2181560993195,26726.0,586.585988712523
13,3.0,30.0,48.0,0.0,6273.986227989197,251942.0,520.5101580210753
14,4.0,30.0,50.0,2.2094168767475474e-06,528.8350818157196,22397.0,587.9253653128269
